2025-12-01 08:25:13,035 - DEBUG - ZMQ REP server bound to tcp://127.0.0.1:5555
2025-12-01 08:25:14,101 - DEBUG - , message is: example_message
2025-12-01 08:25:15,089 - DEBUG - , message is: example_message
2025-12-01 08:25:16,086 - DEBUG - , message is: example_message
2025-12-01 08:25:17,090 - DEBUG - , message is: example_message
2025-12-01 08:25:18,105 - DEBUG - , message is: example_message
2025-12-01 08:25:19,112 - DEBUG - , message is: example_message
2025-12-01 08:25:20,118 - DEBUG - , message is: example_message
2025-12-01 08:25:21,125 - DEBUG - , message is: example_message
2025-12-01 08:25:22,132 - DEBUG - , message is: example_message
2025-12-01 08:25:23,141 - DEBUG - , message is: example_message
2025-12-01 08:25:24,145 - DEBUG - , message is: example_message
2025-12-01 08:25:25,146 - DEBUG - , message is: example_message
2025-12-01 08:25:26,158 - DEBUG - , message is: example_message
2025-12-01 08:25:27,163 - DEBUG - , message is: example_message
2025-12-01 08:25:28,171 - DEBUG - , message is: example_message
2025-12-01 08:25:29,180 - DEBUG - , message is: example_message
2025-12-01 08:25:30,185 - DEBUG - , message is: example_message
2025-12-01 08:25:31,185 - DEBUG - , message is: example_message
2025-12-01 08:25:32,194 - DEBUG - , message is: example_message
2025-12-01 08:25:33,199 - DEBUG - , message is: example_message
2025-12-01 08:25:34,204 - DEBUG - , message is: example_message
2025-12-01 08:25:35,210 - DEBUG - , message is: example_message
2025-12-01 08:25:36,219 - DEBUG - , message is: example_message
2025-12-01 08:25:37,216 - DEBUG - , message is: example_message
2025-12-01 08:25:38,227 - DEBUG - , message is: example_message
2025-12-01 08:25:39,235 - DEBUG - , message is: example_message
2025-12-01 08:25:40,240 - DEBUG - , message is: example_message
2025-12-01 08:25:41,247 - DEBUG - , message is: example_message
2025-12-01 08:25:42,255 - DEBUG - , message is: example_message
2025-12-01 08:25:43,252 - DEBUG - , message is: example_message
2025-12-01 08:25:44,254 - DEBUG - , message is: example_message
2025-12-01 08:25:45,266 - DEBUG - , message is: example_message
2025-12-01 08:25:46,266 - DEBUG - , message is: example_message
2025-12-01 08:25:47,273 - DEBUG - , message is: example_message
2025-12-01 08:25:48,272 - DEBUG - , message is: example_message
